,Unnamed: 0,Name,Counties,Acres Burned,Latitude,Longitude,Fire Started,Fire Extinguished
0,0,Stephens Fire,Siskiyou,200,41.485,-121.851,2015-02-24,2015-03-02
3,3,Otay Fire,San Diego,80,32.6449163,-116.94543870000001,2015-06-26,2015-06-26
4,4,Ward Fire,Plumas,137,40.050833333333,-120.70166666667,2015-04-13,2015-04-18
5,5,Highway Fire,Riverside,"1,049",33.884313,-117.64275900000001,2015-04-18,2015-04-24
6,6,Forebay Fire,Merced,275,37.08312,-121.06963,2015-05-11,2015-05-11
16,16,Bald Fire,Humboldt,20,41.1513,-123.8292,2015-06-10,2015-06-11
17,17,Saddle Fire ,Trinity,"1,542",40.924,-123.16799999999999,2015-06-10,2015-06-29
18,18,Pass Fire,Kern,67,35.77937,-120.19481999999999,2015-06-15,2015-06-15
19,19,Chiles Fire,Napa,38,38.5287,-122.3415,2015-06-16,2015-06-17
20,20,North Fire,Amador,60,38.260777000000004,-121.135426,2015-06-16,2015-06-17
21,21,Fork Fire,Tehama,55,40.0133,-122.552,2015-06-17,2015-06-17
22,22,Wildcat Fire,San Diego,171,32.9421,-116.8534,2015-06-17,2015-06-19
23,23,Lake Fire,San Bernardino,"31,359",34.160277777778,-116.89277777778,2015-06-17,2015-08-01
26,26,Cook Fire,Yuba,158,39.2688,-121.26471000000001,2015-06-18,2015-06-22
29,29,Corrine Fire,Madera,920,37.165766999999995,-119.52394299999999,2015-06-18,2015-06-25
30,30,Red Fire,Madera,135,37.072561,-119.6958,2015-06-21,2015-06-23
31,31,Dixie Fire,Lassen,60,40.875667,-121.033667,2015-06-19,2019-07-01
32,32,Loma Fire,,533,37.974123,-121.833751,2015-06-24,2015-06-25
36,36,Washington Fire,Alpine,0,38.598056,-119.751944,2015-06-19,2015-06-22
37,37,Calgrove Fire ,Los Angeles,415,34.361007,-118.535793,2015-06-24,2015-06-26
38,38,Sterling Fire,San Bernardino,100,34.165974,-117.24387800000001,2015-06-25,2015-06-29
39,39,Pleasure Fire,Napa,19,38.519132,-122.181878,2015-06-27,2015-06-28
40,40,Covelo Fire,Mendocino,35,39.7806004,-123.24821399999999,2015-06-28,2015-06-29
50,50,Black Fire,Tehama,170,39.8448,-122.3638,2015-07-04,2015-07-04
51,51,Soda Fire,Mendocino,23,39.0263,-123.303,2015-07-04,2015-07-05
52,52,Sky Fire,Solano,150,38.4113,-122.0789,2015-07-06,2015-07-08
53,53,Ascot Fire,Solano,40,38.1029,-122.1578,2015-07-10,2015-07-10
54,54,Keswick Fire,Shasta,18,40.5953,-122.4397,2015-07-07,2015-07-08
55,55,Mill 2 Fire,San Bernardino,54,34.0783472,-117.04878629999999,2015-07-12,2015-07-21
56,56,Deer Fire,San Luis Obispo,95,35.7183,-121.0157,2015-07-10,2015-07-15
57,57,Spider Fire,Riverside,21,33.986204,-117.43942,2015-07-12,2015-07-12
59,59,241 Fire,Orange,214,33.7626,-117.7274,2015-07-13,2015-07-15
60,60,Cooley Fire,Siskiyou,181,41.8048,-122.5029,2015-07-13,2015-07-14
61,61,Lake Fire,San Diego,25,33.21407,-116.73472,2015-07-16,2015-07-17
63,63,North Fire,San Bernardino,"4,250",34.339,-117.478,2015-07-17,2015-07-21
65,65,Pines Fire ,Los Angeles,200,34.367,-117.68299999999999,2015-07-17,2015-08-04
67,67,Betabel Fire,San Benito,25,36.8727,-121.5681,2015-07-20,2015-07-20
68,68,Triple Fire,Tulare,430,36.085212,-118.82423500000002,2015-07-21,2015-07-26
69,69,Dorris Fire,Siskiyou,24,41.999340999999994,-121.891226,2015-07-21,2015-07-22
70,70,Wragg Fire,,"8,051",38.4994,-122.1145,2015-07-22,2015-08-05
71,71,Baxter Fire,Placer,26,38.9361,-121.1548,2015-07-22,2015-07-22
72,72,Kyburz Fire,El Dorado,75,38.775999999999996,-120.404,2015-07-23,2015-07-29
73,73,3-11 Fire,Modoc,116,41.29226,-121.17211699999999,2015-07-23,2015-07-26
74,74,3-12 Fire,Modoc,77,40.856421999999995,-121.101623,2015-07-23,2015-07-25
75,75,Cutca Fire,San Diego,167,33.383889,-116.86861100000002,2015-07-24,2015-07-26
76,76,Park Fire,San Diego,25,32.682547,-116.51683999999999,2015-07-24,2015-07-25
78,78,Lowell Fire,Nevada,"2,304",39.192088,-120.88231299999998,2015-07-25,2015-08-12
79,79,Queen Fire,Humboldt,158,41.295667,-123.784067,2015-07-24,2015-08-01
80,80,Willow Fire,Madera,"5,702",37.279722,-119.50013999999999,2015-07-25,2015-08-13
81,81,Mark Fire,Calaveras,114,38.052,-120.5577,2015-08-13,2015-08-18
82,82,Sullivan Fire,Stanislaus,40,37.24523,-121.20324,2015-07-28,2015-07-28
83,83,Buck Fire,Humboldt,16,40.1093,-123.774,2015-07-28,2015-07-31
84,84,Cabin Fire,Tulare,"6,980",36.24,-118.54,2015-07-19,2015-09-05
85,85,Swedes Fire,Butte,400,39.43963,-121.38793999999999,2015-07-29,2015-08-03
86,86,Rocky Fire,Lake,"69,438",38.886353799999995,-122.47624750000001,2015-07-29,2015-08-14
87,87,Mallard Fire,Shasta,75,40.509552,-122.19922700000001,2015-07-29,2015-07-31
88,88,China Fire,Shasta,212,40.415108000000004,-122.439939,2015-07-29,2015-08-01
89,89,Big Creek Fire,Tuolumne,204,37.823,-120.15643999999999,2015-07-29,2015-08-04
90,90,Tulloch Fire,Tuolumne,112,37.83618,-120.61691,2015-08-15,2015-08-16
91,91,Vasco Fire,Contra Costa,195,37.81629,-121.68113000000001,2015-07-30,2015-07-30
92,92,Sprig Fire,Shasta,90,40.49865,-122.20109,2015-07-30,2015-07-31
93,93,Advance Fire,Tulare,86,36.49845,-118.9009,2015-07-30,2015-08-05
94,94,Mendocino Lightning Fires,Mendocino,50,39.433009999999996,-123.36316000000001,2015-07-30,2015-08-03
98,98,Anza Fire,Riverside,543,33.5736,-116.5387,2015-08-10,2015-08-15
100,100,Frog Fire,Modoc,"4,863",41.398999999999994,-121.39200000000001,2015-07-30,2015-07-31
102,102,Fern Fire,Shasta,75,40.67868,-121.93243999999999,2015-08-02,2015-08-04
103,103,White Fire,Santa Barbara,52,34.9522,-120.2903,2015-08-01,1969-12-31
105,105,Francis Fire,Yuba,30,39.33303,-121.18735,2015-08-03,2015-08-05
107,107,Point Fire,Shasta,59,40.3929,-122.40546,2015-08-03,2015-08-04
111,111,Dodge Fire,Lassen,"10,570",40.938,-120.105,2015-08-03,2015-08-04
112,112,De Luz Fire,San Diego,55,33.4115972,-117.2886249,2015-08-09,2015-08-10
113,113,36 Fire,Tehama,110,40.3506868,-121.77867990000001,2015-08-08,2015-08-09
114,114,Jerusalem Fire,"Lake, Napa","25,118",38.8142503,-122.48673190000001,2015-08-09,2015-08-25
119,119,Cuesta Fire,San Luis Obispo,"2,446",35.3477,-120.6269,2015-08-16,2015-08-28
121,121,Horse Fire,Humboldt,146,40.1058823,-124.0720419,2015-08-18,2015-08-29
122,122,Tesla Fire,Alameda,"2,700",37.3845,-121.3732,2015-08-19,2015-08-22
123,123,Grade Fire,Lake,22,38.831478000000004,-122.53428000000001,2015-08-24,2015-08-25
126,126,Peterson Fire,Lake,215,38.925764,-122.879272,2015-08-22,2015-08-27
127,127,Summit Fire,San Bernardino,55,34.23,-116.883,2015-08-23,2015-09-11
128,128,Democrat Fire,Trinity,128,40.724897999999996,-122.96173999999999,2015-08-25,2015-08-29
129,129,Elk Fire,Lake,673,55.23,-122.0,2015-09-02,2015-09-08
130,130,Olive Fire,Butte,72,26.42,-121.0,2015-09-02,2015-09-03
131,131,Kramer Fire ,Lassen,30,41.12362,-121.19425600000001,2015-08-29,2015-08-30
132,132,Oak Fire,Tuolumne,108,38.04684,-120.30188000000001,2015-09-08,2015-09-15
134,134,Browns Fire,Trinity,35,40.0,41.46,2015-09-08,2015-09-10
136,136,Center Fire,Lassen,40,40.400196,-120.553075,2015-09-09,2015-09-10
137,137,Creek Fire,Fresno,170,40.400196,-120.553075,2015-09-09,2015-09-11
138,138,Butte Fire,,"70,868",38.32974,-120.70418000000001,2015-09-09,2015-10-15
141,141,Lumpkin Fire,Butte,"1,042",39.5218,-121.3363,2015-09-11,2015-09-17
142,142,Walker Fire,Shasta,109,40.475120000000004,-122.52541000000001,2015-09-11,2015-09-13
145,145,Munjar Fire,Butte,104,39.8707,-121.8938,2015-10-02,2015-10-02
146,146,Rough Fire ,Fresno,"151,623",36.874,-118.905,2015-07-31,2015-11-09
147,147,Solimar Fire,,"1,388",34.31953,-119.34512,2015-12-25,2015-12-29
148,148,Potrero Fire,Ventura,50,34.15,-118.87944399999999,2015-11-07,2015-11-07
152,152,Cienega Fire,San Benito,670,36.70854,-121.32733999999999,2015-10-12,2015-10-16
153,153,Gibraltar Fire,Santa Barbara,21,34.4828,-119.63216000000001,2015-10-29,2015-11-09
154,154,McCourtney Fire,Nevada,30,39.080999999999996,-121.194,2015-09-22,2015-09-21
155,155,Tassajara Fire,Monterey,"1,086",36.3699644,-121.589554,2015-09-19,2015-09-27
156,156,Laureles Fire,Monterey,95,36.5696373,-121.75560290000001,2015-09-19,2015-09-21
